date,fii_net_cr
2018-01-12,-158.16
2018-01-15,32.92
2018-01-16,693.17
2018-01-17,625.13
2018-01-18,1894.99
2018-01-19,988.25
2018-01-22,1567.51
2018-01-23,1229.35
2018-01-24,776.42
2018-01-25,937.31
2018-01-29,291.86
2018-01-30,-105.56
2018-01-31,-136.63
2018-02-01,1099.78
2018-02-02,950
2018-02-05,-1263.57
2018-02-06,-2326.1
2018-02-07,-1022.5
2018-02-08,-2297.09
2018-02-09,-1351.7
2018-02-12,-814.11
2018-02-14,-728.71
2018-02-15,-240.29
2018-02-16,-1065.99
2018-02-21,-1214.18
2018-02-22,-2335.34
2018-02-23,-486.32
2018-02-26,-1119.51
2018-02-27,-906.86
2018-02-28,-1750.52
2018-03-01,241.85
2018-03-05,-366.6
2018-03-06,620.08
2018-03-07,-719.78
2018-03-08,-364.8
2018-03-13,7028.42
2018-03-23,1628.19
2018-03-26,-741.19
2018-03-27,1063.12
2018-03-28,-1190.55
2018-04-02,-689.75
2018-04-03,-376.51
2018-04-04,335.18
2018-04-05,-108.02
2018-04-06,-524.85
2018-04-09,-1300.93
2018-04-10,-684.99
2018-04-11,362.3
2018-04-12,368.9
2018-04-13,-399.59
2018-04-16,-308.13
2018-04-17,-951.39
2018-04-18,-915.71
2018-04-19,-624.99
2018-04-20,-21.02
2018-04-23,-259.08
2018-04-24,-680.99
2018-04-25,-304.79
2018-04-26,-1056.34
2018-04-27,-759.21
2018-04-30,-385.47
2018-05-02,-525.93
2018-05-03,-148.42
2018-05-04,-1628.23
2018-05-07,-635.24
2018-05-08,-97.15
2018-05-09,-704.03
2018-05-10,-364.88
2018-05-11,-325.44
2018-05-14,717.99
2018-05-15,-518.47
2018-05-16,-699.22
2018-05-17,-830.94
2018-05-18,-166.15
2018-05-21,-496.03
2018-05-22,-1651.63
2018-05-23,-311.11
2018-05-24,-701.93
2018-05-25,-768.29
2018-05-28,-795.06
2018-05-29,-407.33
2018-05-30,-1286.91
2018-05-31,-15.31
2018-06-01,-202.8
2018-06-04,2354.03
2018-06-05,-157.51
2018-06-06,-81.4
2018-06-07,-525.4
2018-06-08,-222.5
2018-06-11,-1156.77
2018-06-12,-1168.88
2018-06-13,-70.77
2018-06-14,-1372.84
2018-06-15,-1524.74
2018-06-18,-754.43
2018-06-19,-1324.92
2018-06-20,-2442.61
2018-06-21,1126.75
2018-06-22,-1343.44
2018-06-25,198.68
2018-06-26,-538.4
2018-06-27,67.44
2018-06-28,-951.51
2018-06-29,-157.15
2018-07-02,-1205.12
2018-07-03,-1043.31
2018-07-04,-284.58
2018-07-05,-159.37
2018-07-06,-968.18
2018-07-09,-569.91
2018-07-10,-20.73
2018-07-11,636.27
2018-07-12,-742.63
2018-07-13,-1104.65
2018-07-16,-625.68
