date,open,prev_close,close,vix_close,vix_prev,morning_score
2022-07-11,16136.15,16220.6,16216.0,18.37,18.4,-1
2022-07-12,16126.2,16216.0,16058.3,18.55,18.37,-2
2022-07-13,16128.2,16058.3,15966.65,18.52,18.55,-1
2022-07-14,16018.85,15966.65,15938.65,18.34,18.52,0
2022-07-15,16010.8,15938.65,16049.2,17.6,18.34,1
2022-07-18,16151.4,16049.2,16278.5,17.16,17.6,1
2022-07-19,16187.05,16278.5,16340.55,17.2,17.16,-2
2022-07-20,16562.8,16340.55,16520.85,16.82,17.2,2
2022-07-21,16523.55,16520.85,16605.25,16.86,16.82,2
2022-07-22,16661.25,16605.25,16719.45,16.65,16.86,3
2022-07-25,16662.55,16719.45,16631.0,17.68,16.65,-2
2022-07-26,16632.9,16631.0,16483.85,18.17,17.68,0
2022-07-27,16475.35,16483.85,16641.8,18.13,18.17,-2
2022-07-28,16774.85,16641.8,16929.6,17.01,18.13,2
2022-07-29,17079.5,16929.6,17158.25,16.55,17.01,3
2022-08-01,17243.2,17158.25,17340.05,17.49,16.55,3
2022-08-02,17310.15,17340.05,17345.45,18.53,17.49,1
2022-08-03,17349.25,17345.45,17388.15,18.45,18.53,-1
2022-08-04,17463.1,17388.15,17382.0,19.26,18.45,2
2022-08-05,17423.65,17382.0,17397.5,18.92,19.26,1
2022-08-08,17401.5,17397.5,17525.1,19.3,18.92,1
2022-08-10,17566.1,17525.1,17534.75,19.59,19.3,1
2022-08-11,17711.65,17534.75,17659.0,18.36,19.59,3
2022-08-12,17659.65,17659.0,17698.15,17.61,18.36,1
2022-08-16,17797.2,17698.15,17825.25,17.68,17.61,2
2022-08-17,17868.15,17825.25,17944.25,17.68,17.68,1
2022-08-18,17898.65,17944.25,17956.5,17.35,17.68,0
2022-08-19,17966.55,17956.5,17758.45,18.29,17.35,-1
2022-08-22,17682.9,17758.45,17490.7,19.04,18.29,-1
2022-08-23,17357.35,17490.7,17577.5,19.05,19.04,-2
2022-08-24,17525.45,17577.5,17604.95,18.43,19.05,0
2022-08-25,17679.0,17604.95,17522.45,19.57,18.43,1
2022-08-26,17619.3,17522.45,17558.9,18.22,19.57,2
2022-08-29,17188.65,17558.9,17312.9,19.82,18.22,-2
2022-08-30,17414.95,17312.9,17759.3,18.7,19.82,0
2022-09-01,17485.7,17759.3,17542.8,19.87,18.7,-1
2022-09-02,17598.4,17542.8,17539.45,19.55,19.87,0
